sex,province,feelings_life,education,political_pref,religion_participation,age,income_family
Male,Alberta,Very satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,33,"$125,000 and more"
Male,Alberta,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,39,"$100,000 to $ 124,999"
Female,Alberta,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,32,"$50,000 to $74,999"
Female,Alberta,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a month,36,"$50,000 to $74,999"
Male,Alberta,Fairly satisfied,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,44,"$125,000 and more"
Male,Alberta,Very satisfied,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,41,"$100,000 to $ 124,999"
Male,Alberta,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,32,"$125,000 and more"
Male,Alberta,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,43,"$$75,000 to $99,999"
Male,Alberta,Not satisfied at all,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,51,"Less than $25,000"
Male,Alberta,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,36,"$100,000 to $ 124,999"
Female,Manitoba,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,40,"Less than $25,000"
Male,Manitoba,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,34,"$125,000 and more"
Female,Manitoba,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a week,53,"$50,000 to $74,999"
Male,Manitoba,Fairly satisfied,"University certificate, diploma or degree above the bach...",Will spoil ballet,Not at all,56,"$125,000 and more"
Male,Manitoba,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,62,"$125,000 and more"
Male,Manitoba,Fairly satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),At least once a year,33,"$$75,000 to $99,999"
Male,Manitoba,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,44,"$125,000 and more"
Male,Manitoba,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,45,"$125,000 and more"
Male,Manitoba,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,27,"$100,000 to $ 124,999"
Male,Manitoba,Fairly satisfied,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,49,"$125,000 and more"
Male,Manitoba,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,36,"$$75,000 to $99,999"
Female,Saskatchewan,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,32,"$125,000 and more"
Male,Saskatchewan,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,39,"$125,000 and more"
Male,Saskatchewan,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,56,"$100,000 to $ 124,999"
Male,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a month,67,"$125,000 and more"
Female,Saskatchewan,Not very satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,38,"$125,000 and more"
Male,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,43,"$125,000 and more"
Male,Saskatchewan,Not satisfied at all,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,70,"$50,000 to $74,999"
Female,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,44,"$125,000 and more"
Male,Saskatchewan,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,32,"$125,000 and more"
Female,Saskatchewan,Not very satisfied,University certificate or diploma below the bachelor's level,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,38,"$100,000 to $ 124,999"
Male,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,27,"$50,000 to $74,999"
Male,Newfoundland and Labrador,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,31,"$50,000 to $74,999"
Male,Newfoundland and Labrador,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),At least once a week,38,"$50,000 to $74,999"
Male,Newfoundland and Labrador,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,54,"Less than $25,000"
Female,Newfoundland and Labrador,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),At least once a month,40,"$25,000 to $49,999"
Female,Newfoundland and Labrador,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a month,43,"$50,000 to $74,999"
Female,Ontario,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,22,"Less than $25,000"
Male,Alberta,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,31,"$$75,000 to $99,999"
Female,Prince Edward Island,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,41,"$125,000 and more"
Female,Prince Edward Island,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Green Party (Greens),At least once a year,61,"$50,000 to $74,999"
Male,Prince Edward Island,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,48,"$50,000 to $74,999"
Male,Nova Scotia,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,29,"$125,000 and more"
Female,Nova Scotia,Not very satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),At least once a year,38,"$50,000 to $74,999"
Male,Nova Scotia,Not satisfied at all,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,73,"$$75,000 to $99,999"
Female,Nova Scotia,Not satisfied at all,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,23,"$50,000 to $74,999"
Male,Nova Scotia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,26,"$100,000 to $ 124,999"
Female,Nova Scotia,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a month,70,"$50,000 to $74,999"
Male,Nova Scotia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Green Party (Greens),Not at all,67,"$50,000 to $74,999"
Female,Nova Scotia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,53,"$100,000 to $ 124,999"
Female,Nova Scotia,Not very satisfied,University certificate or diploma below the bachelor's level,"(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,37,"$$75,000 to $99,999"
Male,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,33,"$100,000 to $ 124,999"
Female,New Brunswick,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,39,"Less than $25,000"
Male,New Brunswick,Fairly satisfied,High school diploma or a high school equivalency certificate,Green Party (Greens),Not at all,69,"$50,000 to $74,999"
Male,New Brunswick,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,27,"$$75,000 to $99,999"
Male,British Columbia,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,37,"$125,000 and more"
Male,British Columbia,Fairly satisfied,University certificate or diploma below the bachelor's level,Green Party (Greens),Not at all,49,"$125,000 and more"
Female,British Columbia,Not satisfied at all,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,40,"$25,000 to $49,999"
Female,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,38,"$125,000 and more"
Male,British Columbia,Not very satisfied,University certificate or diploma below the bachelor's level,Green Party (Greens),Not at all,65,"Less than $25,000"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a week,57,"$125,000 and more"
Male,British Columbia,Not very satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,66,"$125,000 and more"
Male,British Columbia,Not satisfied at all,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,60,"$50,000 to $74,999"
Male,British Columbia,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,44,"$125,000 and more"
Male,British Columbia,Fairly satisfied,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,56,"$$75,000 to $99,999"
Male,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,40,"$125,000 and more"
Male,British Columbia,Fairly satisfied,University certificate or diploma below the bachelor's level,"(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a month,61,"$100,000 to $ 124,999"
Male,British Columbia,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,42,"Less than $25,000"
Female,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,31,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a week,33,"$125,000 and more"
Female,British Columbia,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,26,"$$75,000 to $99,999"
Female,British Columbia,Not very satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),Not at all,42,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,33,"$$75,000 to $99,999"
Male,British Columbia,Not satisfied at all,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,42,"$125,000 and more"
Male,British Columbia,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,62,"Less than $25,000"
Male,British Columbia,Not satisfied at all,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,34,"$125,000 and more"
Male,British Columbia,Not satisfied at all,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),At least once a year,48,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,36,"$125,000 and more"
Female,New Brunswick,Fairly satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),At least once a year,28,"$50,000 to $74,999"
Male,New Brunswick,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,55,"$125,000 and more"
Female,New Brunswick,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,41,"$$75,000 to $99,999"
Female,New Brunswick,Not very satisfied,Less than high school diploma or its equivalent,Liberal (Grits),At least once a week,64,"$25,000 to $49,999"
Male,New Brunswick,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,42,"Less than $25,000"
Male,Nova Scotia,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,20,"Less than $25,000"
Female,New Brunswick,Not satisfied at all,University certificate or diploma below the bachelor's level,People's Party,Not at all,49,"$125,000 and more"
Male,New Brunswick,Fairly satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),Not at all,49,"$125,000 and more"
Male,Newfoundland and Labrador,Not satisfied at all,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,29,"$125,000 and more"
Male,Newfoundland and Labrador,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),At least once a year,55,"$125,000 and more"
Male,Newfoundland and Labrador,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,57,"$125,000 and more"
Female,Newfoundland and Labrador,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,34,"$$75,000 to $99,999"
Male,Newfoundland and Labrador,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,59,"$125,000 and more"
Male,Nova Scotia,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),Not at all,55,"$50,000 to $74,999"
Male,Nova Scotia,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),At least once a year,55,"$25,000 to $49,999"
Male,Nova Scotia,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,47,"$125,000 and more"
Male,Nova Scotia,Very satisfied,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,23,"Less than $25,000"
Female,Nova Scotia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,46,"$125,000 and more"
Male,Prince Edward Island,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,49,"$125,000 and more"
Female,Prince Edward Island,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,38,"$$75,000 to $99,999"
Male,Prince Edward Island,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,55,"$125,000 and more"
Female,Prince Edward Island,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,33,"$$75,000 to $99,999"
Male,Prince Edward Island,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,46,"$125,000 and more"
Female,Prince Edward Island,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,47,"Less than $25,000"
Female,Prince Edward Island,Fairly satisfied,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,24,"$$75,000 to $99,999"
Male,Manitoba,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,69,"$$75,000 to $99,999"
Male,Manitoba,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,74,"$125,000 and more"
Male,Manitoba,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,50,"$125,000 and more"
Male,Manitoba,Not satisfied at all,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,60,"$125,000 and more"
Female,Manitoba,Fairly satisfied,High school diploma or a high school equivalency certificate,Green Party (Greens),Not at all,57,"$50,000 to $74,999"
Male,Manitoba,Very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,28,"$25,000 to $49,999"
Male,Manitoba,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,62,"$125,000 and more"
Male,Manitoba,Very satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,54,"$$75,000 to $99,999"
Male,Manitoba,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),At least once a month,42,"$125,000 and more"
Female,Manitoba,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,54,"$25,000 to $49,999"
Female,Manitoba,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,21,"Less than $25,000"
Male,Manitoba,Not very satisfied,University certificate or diploma below the bachelor's level,Green Party (Greens),Not at all,60,"$100,000 to $ 124,999"
Male,Manitoba,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,62,"$125,000 and more"
Female,Manitoba,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,32,"$50,000 to $74,999"
Female,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,40,"$125,000 and more"
Male,Saskatchewan,Not satisfied at all,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,42,"$125,000 and more"
Female,Saskatchewan,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,39,"$125,000 and more"
Male,Saskatchewan,Not satisfied at all,"College, CEGEP, trade certificate or other non-university certificate or di...",People's Party,At least once a week,58,"$125,000 and more"
Female,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,25,"Less than $25,000"
Female,Saskatchewan,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,55,"$50,000 to $74,999"
Male,Saskatchewan,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,62,"$25,000 to $49,999"
Male,Saskatchewan,Very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,33,"$$75,000 to $99,999"
Male,Saskatchewan,Fairly satisfied,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,27,"$125,000 and more"
Male,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,53,"$125,000 and more"
Male,Saskatchewan,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,42,"$125,000 and more"
Male,Saskatchewan,Very satisfied,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,19,"$125,000 and more"
Male,Prince Edward Island,Very satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),At least once a year,57,"$125,000 and more"
Male,Alberta,Very satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,53,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,45,"$125,000 and more"
Male,British Columbia,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,61,"$$75,000 to $99,999"
Female,Manitoba,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),Not at all,57,"$50,000 to $74,999"
Female,Manitoba,Fairly satisfied,University certificate or diploma below the bachelor's level,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,59,"$100,000 to $ 124,999"
Male,Manitoba,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,68,"$25,000 to $49,999"
Male,Manitoba,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,70,"$50,000 to $74,999"
Female,Manitoba,Not very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,44,"$$75,000 to $99,999"
Female,New Brunswick,Fairly satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),At least once a month,62,"$100,000 to $ 124,999"
Male,Prince Edward Island,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,45,"$100,000 to $ 124,999"
Female,Prince Edward Island,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a week,65,"$125,000 and more"
Male,Prince Edward Island,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,66,"$50,000 to $74,999"
Female,Saskatchewan,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,44,"Less than $25,000"
Male,Manitoba,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,39,"$125,000 and more"
Male,Manitoba,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,54,"$50,000 to $74,999"
Male,Manitoba,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,48,"$25,000 to $49,999"
Male,Manitoba,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,66,"$125,000 and more"
Male,New Brunswick,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,44,"$125,000 and more"
Male,Newfoundland and Labrador,Very satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),Not at all,63,"$125,000 and more"
Female,Nova Scotia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),At least once a year,53,"$100,000 to $ 124,999"
Female,Nova Scotia,Not satisfied at all,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a week,68,"$100,000 to $ 124,999"
Female,Nova Scotia,Fairly satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),Not at all,57,"$100,000 to $ 124,999"
Male,Prince Edward Island,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,72,"$125,000 and more"
Female,Prince Edward Island,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,54,"$$75,000 to $99,999"
Male,Prince Edward Island,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,46,"$25,000 to $49,999"
Female,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,42,"Less than $25,000"
Male,Quebec,Very satisfied,Less than high school diploma or its equivalent,Liberal (Grits),Not at all,61,"$125,000 and more"
Female,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,62,"$50,000 to $74,999"
Female,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),At least once a year,43,"$125,000 and more"
Female,Quebec,Very satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),Not at all,43,"$25,000 to $49,999"
Male,Quebec,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,43,"Less than $25,000"
Female,Quebec,Fairly satisfied,Less than high school diploma or its equivalent,Liberal (Grits),At least once a year,57,"$25,000 to $49,999"
Female,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,54,"$$75,000 to $99,999"
Male,Quebec,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",People's Party,Not at all,58,"Less than $25,000"
Male,Quebec,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,28,"$$75,000 to $99,999"
Male,Alberta,Fairly satisfied,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,46,"$125,000 and more"
Male,Alberta,Fairly satisfied,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,57,"$100,000 to $ 124,999"
Male,Alberta,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,60,"$125,000 and more"
Female,British Columbia,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,84,"$25,000 to $49,999"
Female,Newfoundland and Labrador,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a week,31,"$50,000 to $74,999"
Female,British Columbia,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Green Party (Greens),Not at all,57,"$100,000 to $ 124,999"
Female,British Columbia,Not very satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),Not at all,38,"$$75,000 to $99,999"
Female,British Columbia,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,50,"$100,000 to $ 124,999"
Female,British Columbia,Not satisfied at all,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,31,"$25,000 to $49,999"
Female,British Columbia,Not very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,48,"$125,000 and more"
